---- dump tabulek a views
SELECT 
    c.TABLE_NAME,
    c.ORDINAL_POSITION                                AS poz,
    c.COLUMN_NAME,
    c.DATA_TYPE,
    c.CHARACTER_MAXIMUM_LENGTH                        AS delka,
    c.NUMERIC_PRECISION                               AS presnost,
    c.NUMERIC_SCALE                                   AS meritko,
    c.IS_NULLABLE                                     AS nullable,
    CASE WHEN pk.COLUMN_NAME IS NOT NULL THEN 'PK' ELSE '' END AS klic
FROM INFORMATION_SCHEMA.COLUMNS c
INNER JOIN INFORMATION_SCHEMA.TABLES t
        ON t.TABLE_NAME = c.TABLE_NAME AND t.TABLE_SCHEMA = c.TABLE_SCHEMA
LEFT JOIN (
    SELECT ku.TABLE_NAME, ku.COLUMN_NAME
    FROM INFORMATION_SCHEMA.TABLE_CONSTRAINTS tc
    JOIN INFORMATION_SCHEMA.KEY_COLUMN_USAGE ku
            ON tc.CONSTRAINT_NAME = ku.CONSTRAINT_NAME
           AND tc.TABLE_NAME      = ku.TABLE_NAME
    WHERE tc.CONSTRAINT_TYPE = 'PRIMARY KEY'
) pk ON pk.TABLE_NAME = c.TABLE_NAME AND pk.COLUMN_NAME = c.COLUMN_NAME
WHERE t.TABLE_TYPE = 'BASE TABLE'
ORDER BY c.TABLE_NAME, c.ORDINAL_POSITION;

----

SELECT 
    s.name        AS schema_name,
    v.name        AS view_name,
    m.definition  AS create_script
FROM sys.views v
JOIN sys.schemas s ON s.schema_id = v.schema_id
JOIN sys.sql_modules m ON m.object_id = v.object_id
ORDER BY s.name, v.name;

-----
TABLE_NAME	poz	COLUMN_NAME	DATA_TYPE	delka	presnost	meritko	nullable	klic
BVpol	14	MJ	varchar	10	NULL	NULL	YES	
BVpol	15	MJKoef	float	NULL	53	NULL	YES	
BVpol	16	KcJedn	money	NULL	19	4	YES	
BVpol	17	Sleva	float	NULL	53	NULL	YES	
BVpol	18	RelSzDPH	int	NULL	10	0	YES	
BVpol	19	ProcentoDPH	float	NULL	53	NULL	YES	
BVpol	20	SDph	bit	NULL	NULL	NULL	NO	
BVpol	21	Kc	money	NULL	19	4	YES	
BVpol	22	KcDPH	money	NULL	19	4	YES	
BVpol	23	CmJedn	money	NULL	19	4	YES	
BVpol	24	Cm	money	NULL	19	4	YES	
BVpol	25	CmDPH	money	NULL	19	4	YES	
BVpol	26	JCbezDPH	money	NULL	19	4	YES	
BVpol	27	RelPk	int	NULL	10	0	YES	
BVpol	28	RelTpDPH	int	NULL	10	0	YES	
BVpol	29	PDP	bit	NULL	NULL	NULL	NO	
BVpol	30	MOSSDruh	varchar	2	NULL	NULL	YES	
BVpol	31	RefStr	int	NULL	10	0	YES	
BVpol	32	RefCin	int	NULL	10	0	YES	
BVpol	33	CisloZAK	varchar	12	NULL	NULL	YES	
BVpol	34	DatCreate	datetime	NULL	NULL	NULL	YES	
BVpol	35	DatSave	datetime	NULL	NULL	NULL	YES	
BVpol	36	OrderFld	int	NULL	10	0	YES	
CasRoz	1	ID	int	NULL	10	0	NO	PK
CasRoz	2	Sel	bit	NULL	NULL	NULL	NO	
CasRoz	3	Cislo	varchar	32	NULL	NULL	YES	
CasRoz	4	RelCR	int	NULL	10	0	YES	
CasRoz	5	VarSym	varchar	20	NULL	NULL	YES	
CasRoz	6	ParSym	varchar	20	NULL	NULL	YES	
CasRoz	7	Datum	datetime	NULL	NULL	NULL	YES	
CasRoz	8	RelPk	int	NULL	10	0	YES	
CasRoz	9	SText	varchar	240	NULL	NULL	YES	
CasRoz	10	RefAD	int	NULL	10	0	YES	
CasRoz	11	Firma	varchar	255	NULL	NULL	YES	
CasRoz	12	Utvar	varchar	32	NULL	NULL	YES	
CasRoz	13	Jmeno	varchar	64	NULL	NULL	YES	
